,address,type,size,newcap,origurl,lat,long,price,commision_split,no_units,gross_rent_multiplier,lot_size,occupancy,property_subtype,additional_subtype,property_use_type,apn/parcel_id,year_built,no_stories,parking_ratio,apartment_style,listing_id,date_created,last_updated,description
0,1525 Arch St Berkeley CA,Multifamily,8360,5.5,https://www.loopnet.com/Listing/17687365/1525-Arch-St-Berkeley-CA/,37.879874,-122.26438,,2.5%,8,11.71,"8,100 SF",100%,Garden/Low-Rise,,Investment,,,,,,17687365,06/01/2012,07/07/2012,"
Pride of ownership, Ratcliff designed building Highly desirable N. Berkeley neighborhood with strong rental demand8-large one bedroom, one bath unitsHardwood floors, high ceilings, wood molding, fireplacesDetached carports with additional storage areaSeparately metered PG&EVery clean, well maintained propertyThis one has it all...location, lots of character and great income too!
Premium North Berkeley location only 4-5 blocks from UC campus. Upscale area near Gourmet Ghetto.
"
1,1528 Oxford Street Berkeley CA,Multifamily,8360,6.0,https://www.loopnet.com/Listing/18814798/1528-Oxford-Street-Berkeley-CA/,37.87932,-122.26728,,2.5%,10,,"8,075 SF",,Mid/High-Rise,,Investment,059-2259-009,,,,,18814798,07/25/2014,10/07/2014,"
8 2BR/1BA units and 2 3BR/2BA penthouse units with spectacular bay views. New roof (2013), double pane windows throughout & fire alarm panel/service installed.  Has elevator, coin operated laundry room, tenant parking & additional storage for each unit.
Well maintained 10 unit building in highly desirable Gourmet Ghetto neighborhood.  Short walk to UC Berkeley campus, shops, eats, transportation and groceries.
"
2,1536 Oxford Street Berkeley CA,Multifamily,11880,6.0,https://www.loopnet.com/Listing/15624854/1536-Oxford-Street-Berkeley-CA/,37.879263,-122.26773999999999,,2.5%,12,14.0,"11,566 SF",100%,Garden/Low-Rise,,Investment,,,,,,15624854,03/20/2008,09/17/2010,"
Built in 1889 as the residence of Captain Charles Boudrow, this stately Queen Anne has been converted to twelverental units while preserving the style and details of the original structure. Granted landmark status by the City ofBerkeley' s Landmark Preservation Commission in 1976, the building still contains the original stained glass in theentry area and the butler' s signal panel in the kitchen. The six fireplaces still retain their original ornate woodenmantles with mirrors and tile. The original woodwork remains unpainted and has been matched in the conversion.Plaster castings for the rosettes around the light fixtures have been faithfully replicated. The imposing 4-storytower, which the capain built so he could survey the bay, still provides spectacular views. At 119 years, this architecturalgem has stood the test of time well.The ground floor has two one-bedroom units and three studios, all with their own exterior entries. The originalliving quarters on the main floor had been divided into three one-bedroom units (1536-1, 1A and 2) in which theowner currently occupies as one grand unit of about 2,700 plus square feet.The original attic now contains one 2-b
POPULATIONIn 2006, the population in your selected geography is 308,315. Th e population has changed by 1.05% since 2000. It is estimatedthat the population in your area will be 310,078 fi ve years from now, which represents a_change of 0.57% from the current year.Th e current population is 48.18% male and 51.82% female. Th e median age of the population in your area is 39.1, compare this tothe US average which is 36.5. Th e population density in your area is 3,925.59 people per square mile.HOUSEHOLDSTh ere are currently 138,022 households in your selected geography. Th e number of households has changed by 0.68% since 2000.It is estimated that the number of households in your area will be 138,929 fi ve years from now, which represents a change of 0.66%from the current year. Th e average household size in your area is 2.17 persons.INCOMEIn 2006, the median household income for your selected geography is $55,272, compare this to the US average which is currently$48,271. Th e median household income for your area has changed by 12.34% since 2000. It is estimated that the median householdincome in your area will be $59,549 fi ve years from now, which represents
"
3,1543 Spruce Street Berkeley CA,Multifamily,2700,6.0,https://www.loopnet.com/Listing/16259681/1543-Spruce-Street-Berkeley-CA/,37.879242,-122.26552,,,4,,,75%,Duplex/Triplex/Fourplex,Garden/Low-Rise,Investment,,1924.0,,,,16259681,06/01/2009,08/17/2009,"
INVESTMENT OPPORTUNITY Opportunity to invest in a well-maintained north Berkeley fourplex close to campus and Berkeley's gourmet ghetto. Investing up to 50% (of the building's current value of 1.05 million) would include occupancy of one of the units or more as they become available. An ideal situation for an investor with son or daughter enrolled at UC Berkeley. One unit is currently vacant and suitable for tenancy. The building is a close walk to campus and provides a comfortable haven for a life of study close to good food and cultural amenities. Current owner is an occupant of one of the units. Each apartment has four rooms plus walk-in closet area. Solid oak floors throughout the units. French glass doors between two of the rooms. North Berkeley appears to be one of the most stable real estate areas in California. A series of options outlining potential investor return is available upon request.
The building consists of four similar one bedroom well-lit apartments 3 blocks from UC Berkeley near the corner of Spruce and Cedar Streets. Walk to Walnut Square and the original Peet's Coffee (1966), Chez Panisse & the Cheese Board, Cesar's, Gregoire's Bistro, the French Hotel.
"
4,1550 Oxford Street Berkeley CA,Multifamily,4994,3.5,https://www.loopnet.com/Listing/19823354/1550-Oxford-Street-Berkeley-CA/,37.878826000000004,-122.26713000000001,,2.5%,5,16.6,,,Garden/Low-Rise,,Investment,059-2259-012,,,,,19823354,06/09/2016,07/12/2016,"
North Berkeley apartment built in 1968 with two (2) three-bedroom, 1.5 bath units; two (2) one-bedroom,1-bath units, and a two-bedroom,1.5 bath unit. Secured 6-space garage, laundry/storage. Vacancy August 1, 2016. Strong upside potential. Second story unit has deck with bay views.
Exceptional neighborhood location. A block to Gourmet Ghetto and shopping, short stroll to north side of UC Berkeley and GTU, 15 minute walk to BART.
"
5,1550 Walnut Street Berkeley CA,Multifamily,8800,5.5,https://www.loopnet.com/Listing/14559224/1550-Walnut-Street-Berkeley-CA/,37.878729,-122.26829,,2%,13,10.93,"8,535 SF",100%,Garden/Low-Rise,,Investment,059-2260-013,1962.0,4.0,"13 / 1,000 SF",,14559224,03/29/2006,07/13/2006,"
Seismic and recent extensive capital improvements are in place. Ten spacious two-bedroom, two-bath units: two one-bedroom one bath units (1-PH): and a three bedroom, two bath unit.
This is an excellent investment property situated at a prime North Berkeley location clsoe to the University of California and the ""Gourmet Ghetto.""
"
6,1555 Oxford Street Berkeley CA,Multifamily,12320,6.0,https://www.loopnet.com/Listing/14559136/1555-Oxford-Street-Berkeley-CA/,37.878986,-122.26656000000001,,2%,15,10.91,"12,017 SF",100%,Garden/Low-Rise,,Investment,059-2256-018-01,1964.0,3.0,"15 / 1,000 SF",,14559136,03/29/2006,07/13/2006,"
Seismic refit and extensive recent capital improvements. Views from many units. Comprised of 13 spacious two-bedroom, two bath units: a one-bedroom, one bath: and a three-bedroom, 2.5 bath owner's unit.
This is a trophy-quality North Berkeley apartment property close to the University of California and ""gourmet ghetto.""
"
7,1607 Milvia Street Berkeley CA,Multifamily,6160,5.0,https://www.loopnet.com/Listing/13960941/1607-Milvia-Street-Berkeley-CA/,37.877777,-122.27106,"$3,950,000",,7,13.08,0.14 AC,,Apartment,,,,1966.0,2.0,"1/1,000 SF",Low Rise,18645431,2/25/2020,,Already a member? Log In
8,1609 Bonita Ave Berkeley CA,Multifamily,7480,3.5,https://www.loopnet.com/Listing/15359002/1609-Bonita-Ave-Berkeley-CA/,37.877589,-122.27216000000001,,3%,6,15.3,"7,250 SF",100%,Garden/Low-Rise,,Investment,058-2172-02-7,1956.0,2.0,"1.10 / 1,000 SF",,15359002,09/27/2007,12/04/2007,"
2 story wood framed & stucco building with detached parking. Built in 1956 has 5 two bedroom units and 1 one bedroom unit. All units have oak floors, gas spce heater and are always rented.
Ideally located in north Berkeley's Gourmet Ghetto this 6 unit property is only minutes to great shops, cafes, UC Berkeley campus and 2 BART stops.
"
9,1618 Milvia Street Berkeley CA,Multifamily,4840,6.0,https://www.loopnet.com/Listing/14947783/1618-Milvia-Street-Berkeley-CA/,37.8774,-122.27168,,,5,11.14,"4,725 SF",100%,Garden/Low-Rise,Mid/High-Rise,Investment,,1964.0,3.0,"1 / 1,000 SF",,14947783,01/09/2007,06/01/2007,"
1618 Milvia Street consists of five units, (2) 1 bedroom 1 baths, (2) 3 bedroom 2 bath and (1) very large 4 bedroom 2 bath. The property was originally constructed in 1964 and has since had additional space constructed as an extension of the largest unit. The building is 4,456 sq ft and sits on a 4,725 landscaped lot which includes 3 covered and 2 open parking spaces. Each unit is separately metered for gas and electricity and is wired through individual circuit breakers. This 3 story wood framed stucco building has been well maintained by the same owners since 1965. The owners have made modern upgrades to the large 1800 sq ft unit including granite countertops and stainless steel sinks. The front unit has a balcony and patio and the rear unit has a large patio space. Its location near Berkeley's famous Northside Gourmet Ghetto, its proximity to grocery stores and its quiet aura make this building highly attractive to graduate students and young professionals. Its large units make this investment perfect for the live-in owner.DO NOT DISTURB TENANTS
1618 Milvia St. is located in a highly desirable location on the North side of the UC Berkeley campus. Features of this area include close proximity to two grocery stores (Safeway and Andronicos), Starbucks, the Elephant Pharmacy and the Gourmet Ghetto, known for it's range of restaurants offering locals a quality dining experience. Milvia is situated one block West of Shattuck Ave., a main artery in Berkeley frequented by the city's many bus lines and a thouroughfare to the heart of Downtown Berkeley. Its distance from campus and quiet atmosphere make this location highly desirable to graduate students and young professionals.
"
10,1628 Walnut Street Berkeley CA,Multifamily,5280,3.5,https://www.loopnet.com/Listing/16963572/1628-Walnut-Street-Berkeley-CA/,37.877472999999995,-122.2682,,,2,,"5,088 SF",,Garden/Low-Rise,,Investment,,,,,,16963572,12/30/2010,02/15/2011,"
Duplex + In-law granny unit±2,466 SF
Walnut Street and Virginia Street in desirable Berkeley Gourmet Ghetto location
"
11,1634 Milvia Street Berkeley CA,Multifamily,6616,6.0,https://www.loopnet.com/Listing/14398334/1634-Milvia-Street-Berkeley-CA/,37.876967,-122.27163,,,8,,,,Garden/Low-Rise,,Investment,,1964.0,3.0,,,14398334,11/08/2005,02/22/2006,"
Pride of Ownership 8 unit apartment blding located in one of Berkeley's best residential neighborhoods. Comprised of six - 3 Br/1Ba, & two 2 Br/1 Ba units w/ 8 car parking.  Many units have been updated w/ newer appliances, carpeting, and all units have granite counter tops.  Roof was updated in 1999, & hot water heater replaced in 2001. Ind metered for gas/electric.  Close to UC Berkeley, retail shops & restaurants. Historically low vacancies in highly sought after location.  Upside potential.
Between Cedar and Virginia Streets in the heart of one of Berkeley's most desirable rental locations.  This highly sought-after location is walking distance to the UC Berkeley campus, public transportation, and North Shattuck Village, making it appealing to both students and working professionals.
"
12,1644 Oxford Street Berkeley CA,Multifamily,12480,5.5,https://www.loopnet.com/Listing/14734454/1644-Oxford-Street-Berkeley-CA/,37.877924,-122.26711,,2%,15,12.2,,100%,Garden/Low-Rise,,Investment,,1960.0,3.0,,,14734454,08/03/2006,04/14/2007,"
PRICE REDUCED BY $200,000. Motivated seller.Pride of ownership property located in North Berkeley, just 2 blocks from UC Berkeley. All 15 units in the property have been significantly upgraded and remodeled. The property has a new roof, all new double-pane windows, new bathrooms, flooring, and more. Please see attached marketing package for more property information.
The Oxford Manor Apartments are located just 2 blocks north of the UC Berkeley campus. The property is located in Berkeley's Gourmet Ghetto, surrounded by excellent restaurants, shopping, and all forms of public transportation. Please see attached marketing package for full location description and area amenities.
"
13,1720 Spruce Street Berkeley CA,Multifamily,7040,5.5,https://www.loopnet.com/Listing/18285255/1720-Spruce-Street-Berkeley-CA/,37.876672,-122.2658,,2.5%,4,,"7,050 SF",,Duplex/Triplex/Fourplex,,Investment,058-2181-004,,,,,18285255,07/28/2013,12/20/2013,"


{{ getErrorText(feedbackForm.starRating, 'rating') }}
"
14,1734 Spruce Street Berkeley CA,Multifamily,6600,5.0,https://www.loopnet.com/Listing/19522622/1734-Spruce-Street-Berkeley-CA/,37.876292,-122.26576000000001,,,7,13.22,"6,436 SF",,Garden/Low-Rise,,Investment,,,,,,19522622,11/17/2015,03/21/2016,"
Showing 11/17 at 1, 11/20 at 12:30. Stately 7-unit building in North Side, 1/2 block from Cal. Bay views, period charm. 6 covered parking, 2+ uncovered. Space in basement to add laundry and storage. Call for offers 12/4 2pm.
North Side location, between Gourmet Ghetto and Berkeley Hills, a half block north of Cal Campus.
"
15,1738 Spruce Berkeley CA,Multifamily,2693,6.0,https://www.loopnet.com/Listing/18402861/1738-Spruce-Berkeley-CA/,37.876154,-122.26576999999999,,2.5%,4,12.3,,,Duplex/Triplex/Fourplex,,Investment,,,,,,18402861,10/15/2013,02/12/2014,"
This super charming four plex has a suburb A+ location just ½ block to U.C. Berkeley onthe prestigious north side. It is here that you can walk to both the Cal Campus and overto the celebrated gourmet ghetto in under a minute. The location is also close to BARTand downtown Berkeley.The complex features 4 units: (1) 3 bedroom 1.5 bath (2) 2 bedroom 1 Bath units and (1)large 1 bedroom 1 bath unit. The building recently underwent a major renovation toupgrade portions of the foundation and improve seismic conditions. As part of theproject, the 3 larger units were remodeled; they feature new bamboo floors, new kitchenswith cherry cabinets, quartz counters, dishwashers, several new bathrooms and manynew appliances. The building has several on demand water heaters and a new coinoperated laundry room.
Great Location: The location is just minutes to Everything in the Heart of the East Bay, Closeto Downtown Berkeley, Emeryville, Oakland, Shopping areas such as Rockridge, Temescal,Piedmont Ave, Bay Street in Emeryville, U.C. Berkeley, Berkeley 4th Street shopping,Downtown Berkeley, Solano Ave, Jack London Square, Downtown Oakland and just acrossthe bay from San Francisco. With no traffic 15 minutes to Downtown SF driving or BART.
"
16,1749 Oxford St Berkeley CA,Multifamily,6600,6.0,https://www.loopnet.com/Listing/16860681/1749-Oxford-St-Berkeley-CA/,37.875966999999996,-122.26621999999999,,3%,21,11.06,"6,500 SF",96%,Mid/High-Rise,,Investment,58-2181-30,1928.0,3.0,,,16860681,10/05/2010,01/14/2011,"
Beautifully maintained and restored 21-Unit Property consisting of 5 studios, 10 one bedrooms, and 6 two bedroom units. All but two of the units have been wonderfully remodeled and retrofitted. Harwood floors throughout all units. Property produces excellent rents and maintains very high occupancy. Many upgrades have been made to this turn-key building including new interior and exterior paint, new roof, new carpet, new garage doors, and features updated plumbing and electrical. Beautifully landscaped with a lovely terraced patio.
Very-well located in the heart of North Berkeley, close to Shattuck, Solano Ave and Downtown Berkeley shopping. 1 Block to UC Berkeley and only 4 Blocks to Downtown Berkeley BART. Highly Desirable Location.
"
17,1780 LeRoy Ave Berkeley CA,Multifamily,4840,7.0,https://www.loopnet.com/Listing/14394060/1780-LeRoy-Ave-Berkeley-CA/,37.876447999999996,-122.25873,,2.5%,15,,"5,000 SF",100%,Garden/Low-Rise,,Investment,,1935.0,3.0,,,14394060,11/04/2005,07/20/2006,"
15 room, 6 bath home currently used as student housing, located across the street from UC Berkeley's North Campus.  Located on the corner of LeRoy and Ridge, and one block from the UC North Gate.  Known as the Claret House, it has 14 rooms plus an owner/manager's unit with seperate bath and kitchen.  Close to shops and restaurants on Euclid.  Driveway has room for about five cars.  Great investment oppt.
Northwest corner of LeRoy and Ridge.  Across the street from UC.
"
18,1907 Haste St Berkeley CA,Multifamily,6600,4.5,https://www.loopnet.com/Listing/14292620/1907-Haste-St-Berkeley-CA/,37.864571000000005,-122.27186,,,10,12.71,"6,750 SF",,Garden/Low-Rise,,Investment,,,3.0,,,14292620,08/05/2005,11/07/2005,"
This is a very well maintained and nicely lcoated 10 unit apartment building. Excellent unit mix of 8-two bedrooms, 1-one bedroom and 1-studio. Only 5 blocks to U C Berkeley campus. Covered, off street parking. Laundry room. Secured entry. This property has fantastic upside potential. Please call for detailed information package.
City of Berkeley. Located on Haste St. near Martin Luther King Blvd. only 5 blocks southwest of campus. The immediate neighborhood is a mix of single family residences and small apartment properties.
"
19,1933 Delaware Street Berkeley CA,Multifamily,6600,6.0,https://www.loopnet.com/Listing/14035783/1933-Delaware-Street-Berkeley-CA/,37.874656,-122.27181999999999,,,6,,"6,750 SF",,Garden/Low-Rise,,Investment,,,2.0,,,14035783,10/16/2004,12/06/2004,"
Highlights

Great Location
Modern units
Hard to find small apartment building

"
20,2008 Shattuck Ave Berkeley CA,Multifamily,5280,4.5,https://www.loopnet.com/Listing/19273622/2008-Shattuck-Ave-Berkeley-CA/,37.871733,-122.26867,,,39,,"5,266 SF",,Garden/Low-Rise,,Investment,057-2025-002,1918.0,3.0,,,19273622,06/05/2015,08/31/2015,"
-  39 Total Units-  32 - SRO Units-  3 - Larger SRO Units w/ Private Bathrooms-  1 - Larger SRO Unit w/ Kitchen & Private Bathroom-  1 - Office Unit-  2 - Commercial Retail Units-  Seasonal Student Housing Offsets Berkeley' s Rent Control-  Upside Potential in Rents-  Some Renovated Units-  Newer Hot Water Heater Tank (2014)-  Retrofitted Facade (1994)
-  Located in Downtown Berkeley-  Walking distance to Shops and Restaurants-  Immediate access to I-80, I-980 and Highway 24-  Two Blocks from the University of California, Berkeley-  Two Blocks from Downtown Berkeley BART
"
21,2010 Channing Way Berkeley CA,Multifamily,3682,4.0,https://www.loopnet.com/Listing/14467423/2010-Channing-Way-Berkeley-CA/,37.865256,-122.26951000000001,,,4,,,100%,Duplex/Triplex/Fourplex,,Investment,,1897.0,,,,14467423,01/17/2006,07/26/2006,"
Berkeley 4 units. Close to UC Campus. See attached flyer for details.
Channing off Shattuck
"
22,2015 Haste Street Berkeley CA,Multifamily,13640,6.0,https://www.loopnet.com/Listing/16487776/2015-Haste-Street-Berkeley-CA/,37.864917,-122.26926999999999,,,22,9.5,"13,500 SF",100%,Garden/Low-Rise,,Investment,,1964.0,,,,16487776,11/30/2009,08/05/2010,"
Three buildings on two contiguous parcels. Unit mix is two studios, fourteen one bedrooms, five two bedrooms, and a four bedroom two bath penthouse unit.
Excellent investment property in a great downtown/ south UC Berkeley campus location. PRICE REDUCTION TO $2,095,000.
"
23,2020 Dwight Way Berkeley CA,Multifamily,6600,4.5,https://www.loopnet.com/Listing/15121208/2020-Dwight-Way-Berkeley-CA/,37.863525,-122.26876999999999,,,3,,"6,482 SF",,Duplex/Triplex/Fourplex,,Investment,,1904.0,3.0,,,15121208,05/03/2007,10/16/2007,"
The subject property is a beautiful Victorian that consists of 2 one-bedroom one-bath units and 1 two-bedroom one-bath unit. The upper unit is ideal as an owners unit.  There are nine parking spaces that come with the property. Three are assigned to the triplex units and six are rented on a month-to-month basis. The eastside driveway provides access to the parking spaces. The gas and electricity are separately metered.  The property owner pays water and garbage. The owner will fence off the Westside of the property along the property line. The building has recently had a new foundation poured to replace the original brick.Two bedroom and one-bedroom apartments provide for a very stable and reliable income stream as apartments that will always be in high demand.  Units of this size are also highly desirable due to the quality of the location, proximity to the UC Berkeley campus, and the demographics of the surrounding area.    This is a tremendous opportunity for a buyer to acquire an attractive investment property in a good location. There is a strong rental market with a lack of developable land, good demographics, for Berkeley residential income property.
These well-kept units are conveniently located in a prime section of South Berkeley, less than five blocks away from the University of California Campus.  The building is a classic example of Berkeley Victorian housing, located in the heart of the  old residential  downtown.
"
24,2023 Channing Way Berkeley CA,Multifamily,4750,4.5,https://www.loopnet.com/Listing/17201611/2023-Channing-Way-Berkeley-CA/,37.86586,-122.26898,,,6,,,,Garden/Low-Rise,,Investment,,,,,,17201611,06/14/2011,03/12/2014,"
6 unit Berkeley Apartment. This classic 1900' s Berkeley apartment building has been wonderfully restored with significant care and attention to detail. The property is being offered for the first time since being remodeled. Great location with a Walkscore rating of 95.
This is a perfect opportunity to own a turnkey investment property located just one block from the University of California, Berkeley.TOUR: Thursday, June 16th from 1pm-2pm. Contact broker for details.
"
25,2053 Berkeley Way Berkeley CA,Multifamily,3080,7.0,https://www.loopnet.com/Listing/17927821/2053-Berkeley-Way-Berkeley-CA/,37.873079,-122.26878,,,4,,"3,122 SF",100%,Duplex/Triplex/Fourplex,Street Retail,Investment,057-2051-007,1904.0,2.0,,,17927821,11/27/2012,05/13/2013,"
2 ground floor commercial units with 4 residential units aboveDownload flyer for financial overview and lease/tenant details40' of frontage on Shattuck Avenue
Easy walk to BART, UC Berkeley, Gourmet Ghetto, Downtown Arts District.Just 1 block to UC Berkeley with 50,000 daily population and 2.5 blocks to downtown BART.Part of a rapidly changing area including:-- UC Berkeley Energy Biosciences Building (Helios), a 113,000 sq. ft. office/lab. Opened 9/12.-- Berkeley Central, a 9-story building with 143 residential units above retail. Opened 9/12.-- Acheson Commons proposed for 203 residential units above retail.-- New proposed Berkeley Art Museum and PFA.
"
26,2057 UNIVERSITY AVE Berkeley CA,Multifamily,6600,7.0,https://www.loopnet.com/Listing/15796867/2057-UNIVERSITY-AVE-Berkeley-CA/,37.87233,-122.26931,,,50,,"6,651 SF",95%,Mid/High-Rise,,Investment,,1919.0,3.0,,,15796867,07/10/2008,10/08/2008,"
Upside! The University Hotel in Berkeley, California offers an investor the opportunity to dramatically increase the annual net operating income and cash flow from their current levels.The University Hotel is situated on one of Berkeley' s highest traffic arterials, University Avenue, and is just two blocks away from the University of California campus. The subject property is mixed-use, and is comprised of 50 SRO residential units over two ground floor retail suites. Upside in the income stream is realized through more efficient management of the residential units which are significantly under rented. Of the 50 units, 92% have yet to be  raised to today' s market level of $700 per month. The ground floor retail is similarly underachieving with current rents far below that of today' s market level, of $2.00 per square foot triple-net for similar retail space in this trade area.
The residential portion of the building is a typical SRO-unit configuration with common area only restrooms, and showers/vanity/tub amenities. The two ground level retail suites flank the entry lobby and are industry standard for this trade area as to depths. Built in 1919, the University Hotel is of woodframe construction with masonry exterior walls and is approximately 16,840 gross square feet in size over three floors. The parcel size is approximately 6,651 square feet and enjoys the rare Hotel (89) zoning. Only 5 other properties in the city of Berkeley over 20 units (source: Realquest, Inc.) enjoy this unique zoning making the University Hotel one of a select group of assets which can cater to this specific high-demand residential rental pool.
"
27,2057 University Ave Berkeley CA,Multifamily,6600,5.5,https://www.loopnet.com/Listing/16473215/2057-University-Ave-Berkeley-CA/,37.87233,-122.26931,,2.25%,52,9.2,"6,651 SF",100%,Mid/High-Rise,,Investment,,,,,,16473215,11/16/2009,10/05/2010,"
The University Hotel is a mixed-use property featuring two ground floor retail spaces and 50 single resident occupancy rooms. The property has recently been renovated with new bathrooms in some units, new furniture and new interior carpet and paint throughout. Most of the recent tenants are students and have signed long-term leases.
The property is located on Berkeley's main thoroughfare, only a few blocks from U.C. Berkeley.
"
28,2109 Shattuck Ave Berkeley CA,Multifamily,24000,5.0,https://www.loopnet.com/Listing/14409084/2109-Shattuck-Ave-Berkeley-CA/,37.871025,-122.26735,,,35,,,100%,Mid/High-Rise,,Investment,,1912.0,,,,14409084,11/16/2005,03/14/2006,"
Fully renovated multi use building with historical charm. Heart of downtown Berkeley 1 block to UC.   3 commercial ground floor spaces with 32 apartments above. Also full basement with many potential uses. There is approximately $4,000 per month in potential upside in this building.
Prime location, 1 block to the University of California, Berkeley. Also, in the heart of the recently renovated downtown area. All public transportation including BART with 1/2 block of the building. This building is easy to keep full occupancy
"
